timestamp,train_accuracy,train_precision,train_recall,train_f1,test_accuracy,test_precision,test_recall,test_f1
20250216_135555,0.700350955041449,0.7013825913622067,0.700350955041449,0.7005964879728236,0.6999064123664762,0.701154084181099,0.6999064123664762,0.7002067049557638
20250216_135658,0.6625849654087416,0.6620817874637173,0.6625849654087416,0.6621596087873146,0.6625520379513989,0.6620245752637938,0.6625520379513989,0.6621526478218287
20250216_135802,0.6499162952056314,0.6512017282116259,0.6499162952056314,0.6502234849247973,0.6489172878949236,0.6505576129152203,0.6489172878949236,0.649300511659246
20250216_135908,0.7137275862764477,0.7134110504275814,0.7137275862764477,0.7134446600030517,0.7113547616742505,0.7110319880813522,0.7113547616742505,0.711113587597452
20250216_140016,0.7046874684846407,0.7084789233732813,0.7046874684846407,0.7048607226182916,0.7031739116403654,0.7076085337850593,0.7031739116403654,0.7034081576645185
20250216_140123,0.7084188870287823,0.7081072953771181,0.7084188870287823,0.7075782637555841,0.7079259044115274,0.7074651515487527,0.7079259044115274,0.7071068461583874
20250216_140239,0.7165251416930555,0.7167727775646613,0.7165251416930555,0.7166217329358319,0.7134282118307678,0.7138194604348091,0.7134282118307678,0.7135728357142683
20250216_140354,0.7170092176122955,0.7177455078446429,0.7170092176122955,0.7172089561614348,0.7151063349146416,0.7159710534677416,0.7151063349146416,0.7153473615246003
20250216_140510,0.7169950987313177,0.7168072723658068,0.7169950987313177,0.7168716201612149,0.7154451866911931,0.7152498465719442,0.7154451866911931,0.7153237329243858
20250216_140553,0.6803283648318844,0.6841903305298919,0.6803283648318844,0.6804980405330014,0.678219898667183,0.6825716719629195,0.678219898667183,0.6784719445905506
20250216_140636,0.6699570382621675,0.6877576860256212,0.6699570382621675,0.666893673267367,0.6673605060186529,0.6864028046578495,0.6673605060186529,0.6643455000685393
20250216_140719,0.6203634603360294,0.6252793609262499,0.6203634603360294,0.6203100796585055,0.6200745473908413,0.6256836602173065,0.6200745473908413,0.6201046220221897
20250216_140805,0.6606103390548418,0.6665382876758059,0.6606103390548418,0.6604364357680391,0.6591957917836512,0.6657378145665731,0.6591957917836512,0.659119979568042
20250216_140850,0.616131830008673,0.6154059917280212,0.616131830008673,0.6155521333512822,0.6148062090554103,0.6141101076883474,0.6148062090554103,0.6143160932017734
20250216_140935,0.6020028641158555,0.6059889033373281,0.6020028641158555,0.6021278644488179,0.6006712492335495,0.6052267868660686,0.6006712492335495,0.6008930150344562
20250216_141029,0.6790919542548256,0.6785605799120082,0.6790919542548256,0.6784671683422124,0.6774776519185465,0.6768477780552411,0.6774776519185465,0.6768298733237043
20250216_141122,0.6938179471147058,0.7021302552232189,0.6938179471147058,0.6933096029170096,0.6927985929583373,0.7017645616662646,0.6927985929583373,0.6923963597923075
20250216_141217,0.5847495915609432,0.5838918587759652,0.5847495915609432,0.5735765850133281,0.5859876722496531,0.5843398529148,0.5859876722496531,0.5747648110987503
20250216_141300,0.7098670808205086,0.7100122867462996,0.7098670808205086,0.7099297437999337,0.7096443669926098,0.7098738944907548,0.7096443669926098,0.7097397905282465
20250216_141343,0.7100223885112649,0.7099759769204061,0.7100223885112649,0.7099979004098421,0.7089585955400652,0.70897280194106,0.7089585955400652,0.7089656093319155
20250216_141426,0.6958752697714758,0.6954340101869416,0.6958752697714758,0.6953504129938763,0.6949527221092716,0.6944527826947328,0.6949527221092716,0.6944745460006082
20250216_141511,0.7548558865648762,0.7593136713500991,0.7548558865648762,0.7549639697502923,0.7520734501565173,0.7569413017109066,0.7520734501565173,0.7522529208619255
20250216_141556,0.7240484882712439,0.7272005882826973,0.7240484882712439,0.7242630032998579,0.7222544938199891,0.7257816090823356,0.7222544938199891,0.7225398380442926
20250216_141641,0.684981544605579,0.6852677555992053,0.684981544605579,0.6850950973582501,0.6843111627456675,0.6847352131433339,0.6843111627456675,0.6844726894694202
20250216_141734,0.7591177716371851,0.7667833407365566,0.7591177716371851,0.7589191129643337,0.7553974247264982,0.7636490495959599,0.7553974247264982,0.7552722881745371
