PA_RANK,Rank,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,HR_per_PA,RBI_per_PA,R_per_PA,WAR_per_PA
161,101,Lawrence Butler,ATH,149,644,26,76,84,21,7.7%,25.6%,0.193,0.296,0.247,0.304,0.44,0.32,113,1.5,10.7,-6.7,2.6,0.040372670807453416,0.13043478260869565,0.11801242236024845,0.004037267080745342
162,115,Jonathan India,KCR,138,595,15,76,63,11,10.4%,18.7%,0.155,0.304,0.262,0.356,0.417,0.339,118,-0.5,11.7,-8.0,2.4,0.025210084033613446,0.10588235294117647,0.12773109243697478,0.004033613445378151
163,151,Evan Carter,TEX,115,497,12,65,48,15,11.3%,24.1%,0.149,0.299,0.238,0.332,0.387,0.317,107,0.4,4.2,-1.2,2.0,0.02414486921529175,0.096579476861167,0.13078470824949698,0.004024144869215292
164,91,Steven Kwan,CLE,156,672,7,85,52,18,9.9%,9.5%,0.103,0.301,0.28,0.355,0.383,0.326,114,0.3,11.2,-7.2,2.7,0.010416666666666666,0.07738095238095238,0.12648809523809523,0.004017857142857143
165,98,Ian Happ,CHC,156,672,23,82,80,12,11.7%,24.5%,0.178,0.294,0.241,0.334,0.419,0.329,114,-0.4,10.6,-7.2,2.7,0.03422619047619048,0.11904761904761904,0.12202380952380952,0.004017857142857143
166,311,Trent Grisham,NYY,40,175,6,20,20,4,11.3%,26.0%,0.169,0.264,0.214,0.311,0.383,0.306,99,0.0,-0.1,0.6,0.7,0.03428571428571429,0.11428571428571428,0.11428571428571428,0.004
167,225,Carson Kelly,CHC,76,301,7,31,28,1,8.6%,20.2%,0.127,0.269,0.23,0.303,0.356,0.292,89,-0.5,-4.6,5.9,1.2,0.023255813953488372,0.09302325581395349,0.10299003322259136,0.003986710963455149
168,90,Marcus Semien,TEX,157,679,21,78,75,12,8.7%,16.1%,0.159,0.263,0.243,0.311,0.402,0.311,102,-0.2,1.7,2.2,2.7,0.030927835051546393,0.11045655375552282,0.11487481590574374,0.003976435935198822
169,152,Brett Baty,NYM,117,504,18,54,57,2,9.0%,25.6%,0.164,0.291,0.238,0.312,0.402,0.312,103,-0.8,1.0,1.8,2.0,0.03571428571428571,0.1130952380952381,0.10714285714285714,0.003968253968253968
170,159,Michael Conforto,LAD,117,504,21,60,65,2,9.3%,23.6%,0.196,0.283,0.244,0.324,0.44,0.331,114,-0.8,7.6,-5.5,2.0,0.041666666666666664,0.12896825396825398,0.11904761904761904,0.003968253968253968
171,124,Jordan Walker,STL,134,581,21,72,74,9,6.9%,23.0%,0.187,0.309,0.262,0.318,0.449,0.33,113,-0.2,9.0,-6.2,2.3,0.03614457831325301,0.12736660929432014,0.12392426850258176,0.003958691910499139
172,103,Masyn Winn,STL,154,665,13,80,62,17,6.9%,18.3%,0.133,0.294,0.253,0.306,0.385,0.301,94,0.8,-4.2,7.1,2.6,0.019548872180451128,0.09323308270676692,0.12030075187969924,0.003909774436090226
173,251,Ben Rortvedt,TBR,65,256,5,25,22,1,9.5%,25.9%,0.113,0.288,0.221,0.303,0.333,0.285,88,-0.4,-3.8,5.0,1.0,0.01953125,0.0859375,0.09765625,0.00390625
174,354,Kyle McCann,ATH,32,128,5,13,14,0,8.1%,36.6%,0.159,0.294,0.205,0.277,0.364,0.282,86,-0.2,-2.2,2.5,0.5,0.0390625,0.109375,0.1015625,0.00390625
175,401,Leo Jiménez,TOR,18,77,1,8,6,1,7.9%,20.9%,0.108,0.289,0.235,0.33,0.343,0.303,99,-0.1,-0.3,0.7,0.3,0.012987012987012988,0.07792207792207792,0.1038961038961039,0.003896103896103896
176,400,James Outman,LAD,18,77,3,10,9,2,10.2%,31.4%,0.19,0.299,0.226,0.317,0.416,0.32,107,0.0,0.6,-0.1,0.3,0.03896103896103896,0.11688311688311688,0.12987012987012986,0.003896103896103896
177,190,Jake Rogers,DET,99,390,14,41,44,2,7.4%,29.8%,0.166,0.275,0.215,0.278,0.382,0.288,87,-0.4,-6.0,7.6,1.5,0.035897435897435895,0.11282051282051282,0.10512820512820513,0.0038461538461538464
178,493,Jeferson Quero,MIL,6,26,1,3,3,0,6.4%,22.0%,0.14,0.272,0.232,0.283,0.372,0.286,82,0.0,-0.6,0.5,0.1,0.038461538461538464,0.11538461538461539,0.11538461538461539,0.0038461538461538464
179,500,Hunter Feduccia,LAD,6,26,0,3,2,0,10.8%,25.3%,0.113,0.276,0.214,0.3,0.327,0.281,80,0.0,-0.6,0.5,0.1,0.0,0.07692307692307693,0.11538461538461539,0.0038461538461538464
180,517,Phil Clarke,TOR,6,26,0,2,2,0,9.3%,16.7%,0.077,0.264,0.223,0.311,0.301,0.279,81,0.0,-0.6,0.3,0.1,0.0,0.07692307692307693,0.07692307692307693,0.0038461538461538464
181,132,Jorge Soler,LAA,133,574,31,70,86,1,11.0%,25.5%,0.235,0.27,0.238,0.328,0.473,0.344,124,-1.0,14.9,-12.7,2.2,0.05400696864111498,0.14982578397212543,0.12195121951219512,0.0038327526132404185
182,117,Zack Gelof,ATH,146,630,21,68,71,27,8.0%,31.3%,0.163,0.305,0.227,0.292,0.391,0.298,97,2.1,0.0,2.3,2.4,0.03333333333333333,0.1126984126984127,0.10793650793650794,0.0038095238095238095
183,281,Nolan Gorman,STL,49,210,11,24,29,3,8.6%,31.7%,0.214,0.293,0.232,0.3,0.446,0.321,107,-0.1,1.7,-1.1,0.8,0.05238095238095238,0.1380952380952381,0.11428571428571428,0.0038095238095238095
184,156,Ryan Mountcastle,BAL,122,525,21,62,69,4,6.8%,23.3%,0.19,0.317,0.27,0.321,0.46,0.334,122,-0.7,12.2,-10.5,2.0,0.04,0.13142857142857142,0.1180952380952381,0.0038095238095238095
185,120,Joey Ortiz,MIL,146,630,14,77,64,13,8.3%,20.6%,0.146,0.287,0.242,0.309,0.388,0.305,94,-0.4,-4.6,6.5,2.4,0.022222222222222223,0.10158730158730159,0.12222222222222222,0.0038095238095238095
186,129,Nico Hoerner,CHC,134,581,5,64,44,27,7.0%,11.2%,0.091,0.296,0.269,0.331,0.36,0.306,98,1.6,0.3,2.1,2.2,0.008605851979345954,0.0757314974182444,0.11015490533562823,0.003786574870912221
187,346,Gabriel Arias,CLE,31,133,4,15,15,4,6.0%,28.0%,0.163,0.307,0.24,0.291,0.402,0.3,96,0.2,-0.5,0.9,0.5,0.03007518796992481,0.11278195488721804,0.11278195488721804,0.0037593984962406013
188,128,Christian Yelich,MIL,136,588,18,75,64,24,12.2%,22.2%,0.164,0.313,0.259,0.353,0.424,0.34,118,1.3,13.9,-11.7,2.2,0.030612244897959183,0.10884353741496598,0.12755102040816327,0.003741496598639456
189,211,Leody Taveras,TEX,81,350,9,40,36,14,7.7%,21.7%,0.146,0.296,0.248,0.306,0.393,0.304,98,0.7,-0.2,1.3,1.3,0.025714285714285714,0.10285714285714286,0.11428571428571428,0.0037142857142857142
190,259,Dillon Dingler,DET,62,243,7,26,26,1,6.9%,28.2%,0.151,0.283,0.221,0.286,0.371,0.288,88,-0.3,-3.7,4.8,0.9,0.02880658436213992,0.10699588477366255,0.10699588477366255,0.003703703703703704
191,205,Josh Smith,TEX,83,357,7,40,32,7,9.0%,20.6%,0.125,0.291,0.24,0.329,0.365,0.309,101,0.1,0.5,0.5,1.3,0.0196078431372549,0.0896358543417367,0.11204481792717087,0.0036414565826330533
192,140,Pete Crow-Armstrong,CHC,134,581,15,76,59,35,5.5%,26.0%,0.156,0.307,0.242,0.293,0.398,0.299,94,2.9,-1.4,2.1,2.1,0.025817555938037865,0.10154905335628227,0.13080895008605853,0.0036144578313253013
193,118,Nolan Arenado,STL,154,665,20,71,75,3,7.0%,15.2%,0.153,0.273,0.254,0.309,0.407,0.311,100,-1.1,-0.7,1.6,2.4,0.03007518796992481,0.11278195488721804,0.10676691729323308,0.0036090225563909775
194,135,Seiya Suzuki,CHC,143,616,22,83,74,13,10.0%,25.4%,0.187,0.324,0.262,0.339,0.449,0.34,121,-1.1,14.5,-14.1,2.2,0.03571428571428571,0.12012987012987013,0.13474025974025974,0.0035714285714285718
195,512,Gustavo Campero,LAA,6,28,1,3,3,1,6.7%,22.2%,0.149,0.278,0.232,0.307,0.382,0.303,95,0.1,-0.1,-0.3,0.1,0.03571428571428571,0.10714285714285714,0.10714285714285714,0.0035714285714285718
196,462,Emmanuel Rodriguez,MIN,6,28,1,4,3,1,17.2%,34.5%,0.179,0.3,0.204,0.344,0.384,0.324,113,0.0,0.4,0.1,0.1,0.03571428571428571,0.10714285714285714,0.14285714285714285,0.0035714285714285718
197,507,Emmanuel Rivera,BAL,6,28,1,3,3,0,7.5%,21.7%,0.137,0.295,0.245,0.307,0.382,0.301,98,0.0,-0.1,-0.2,0.1,0.03571428571428571,0.10714285714285714,0.10714285714285714,0.0035714285714285718
198,473,Zach Dezenzo,HOU,6,28,1,3,3,0,7.1%,29.4%,0.177,0.312,0.243,0.301,0.419,0.312,105,0.0,0.1,0.1,0.1,0.03571428571428571,0.10714285714285714,0.10714285714285714,0.0035714285714285718
199,515,Everson Pereira,NYY,6,28,1,3,3,1,7.0%,32.7%,0.175,0.302,0.225,0.285,0.399,0.297,93,0.0,-0.2,-0.2,0.1,0.03571428571428571,0.10714285714285714,0.10714285714285714,0.0035714285714285718
200,498,Cavan Biggio,KCR,6,28,1,3,2,0,12.6%,25.7%,0.117,0.289,0.219,0.33,0.336,0.302,91,0.0,-0.3,0.1,0.1,0.03571428571428571,0.07142857142857142,0.10714285714285714,0.0035714285714285718
201,138,Cody Bellinger,NYY,136,588,20,66,68,12,7.9%,17.7%,0.167,0.268,0.245,0.307,0.412,0.311,103,0.0,1.9,-1.2,2.1,0.034013605442176874,0.11564625850340136,0.11224489795918367,0.0035714285714285718
202,521,Isaac Collins,MIL,6,28,1,3,2,1,11.5%,23.8%,0.129,0.274,0.218,0.316,0.347,0.296,89,0.0,-0.3,-0.1,0.1,0.03571428571428571,0.07142857142857142,0.10714285714285714,0.0035714285714285718
203,456,Dominic Canzone,SEA,13,56,2,6,7,1,7.1%,23.1%,0.174,0.272,0.236,0.292,0.41,0.303,104,-0.1,0.2,-0.5,0.2,0.03571428571428571,0.125,0.10714285714285714,0.0035714285714285718
204,191,Yoán Moncada,,97,420,11,47,44,3,8.6%,27.1%,0.146,0.318,0.244,0.314,0.391,0.308,99,-0.6,-1.1,1.5,1.5,0.02619047619047619,0.10476190476190476,0.11190476190476191,0.0035714285714285713
205,122,Bryan Reynolds,PIT,149,644,22,82,76,9,8.7%,21.9%,0.178,0.307,0.261,0.333,0.439,0.335,112,-0.6,8.9,-7.8,2.3,0.034161490683229816,0.11801242236024845,0.12732919254658384,0.0035714285714285713
206,405,Chandler Simpson,TBR,19,84,0,8,4,10,6.3%,14.3%,0.052,0.312,0.267,0.312,0.319,0.281,85,1.2,-0.2,0.3,0.3,0.0,0.047619047619047616,0.09523809523809523,0.0035714285714285713
207,348,Edmundo Sosa,PHI,32,140,4,18,15,3,4.6%,23.4%,0.162,0.3,0.248,0.303,0.41,0.309,97,-0.1,-0.5,0.6,0.5,0.02857142857142857,0.10714285714285714,0.12857142857142856,0.0035714285714285713
208,121,Taylor Ward,LAA,151,651,23,77,76,8,9.5%,23.1%,0.173,0.298,0.25,0.329,0.423,0.327,112,-0.9,8.2,-7.3,2.3,0.03533026113671275,0.11674347158218126,0.11827956989247312,0.0035330261136712745
209,127,Bryson Stott,PHI,151,651,12,72,59,29,8.4%,16.9%,0.121,0.291,0.255,0.319,0.376,0.305,95,2.2,-2.1,2.4,2.3,0.018433179723502304,0.09062980030721966,0.11059907834101383,0.0035330261136712745
210,160,Geraldo Perdomo,ARI,125,539,5,63,40,13,10.7%,16.6%,0.1,0.289,0.244,0.332,0.344,0.303,92,0.0,-5.3,5.6,1.9,0.00927643784786642,0.07421150278293136,0.11688311688311688,0.003525046382189239
211,168,Gio Urshela,ATH,118,511,9,54,47,3,5.8%,17.3%,0.117,0.305,0.265,0.308,0.381,0.301,99,-0.7,-1.0,1.1,1.8,0.01761252446183953,0.09197651663405088,0.10567514677103718,0.0035225048923679062
212,144,Lane Thomas,CLE,139,602,17,69,67,26,7.6%,25.7%,0.158,0.295,0.236,0.301,0.394,0.303,98,0.0,-1.4,1.3,2.1,0.02823920265780731,0.11129568106312292,0.11461794019933555,0.0034883720930232558
213,257,Taylor Trammell,HOU,66,287,11,33,35,9,11.3%,30.4%,0.189,0.283,0.219,0.315,0.408,0.316,108,0.1,2.6,-2.9,1.0,0.03832752613240418,0.12195121951219512,0.11498257839721254,0.003484320557491289
214,286,Pedro Pagés,STL,58,230,6,24,22,0,8.1%,25.3%,0.133,0.283,0.226,0.293,0.359,0.287,84,-0.4,-4.7,4.5,0.8,0.02608695652173913,0.09565217391304348,0.10434782608695652,0.0034782608695652175
215,267,Jordan Lawlar,ARI,60,259,6,32,25,11,8.4%,25.5%,0.142,0.303,0.237,0.311,0.379,0.303,92,0.8,-1.6,1.7,0.9,0.023166023166023165,0.09652509652509653,0.12355212355212356,0.003474903474903475
216,274,Orelvis Martinez,TOR,53,231,11,26,33,0,6.8%,25.9%,0.216,0.262,0.23,0.29,0.446,0.315,107,-0.3,1.5,-1.0,0.8,0.047619047619047616,0.14285714285714285,0.11255411255411256,0.003463203463203463
217,136,Brendan Donovan,STL,141,609,11,70,56,7,8.7%,13.6%,0.121,0.302,0.272,0.349,0.393,0.327,111,-1.2,6.9,-6.4,2.1,0.0180623973727422,0.09195402298850575,0.11494252873563218,0.0034482758620689655
218,173,Jonny DeLuca,TBR,115,497,15,58,54,19,7.2%,20.6%,0.16,0.264,0.23,0.294,0.39,0.298,98,1.3,-0.1,0.3,1.7,0.030181086519114688,0.10865191146881288,0.11670020120724346,0.003420523138832998
219,246,Javier Báez,DET,75,322,11,34,36,8,4.8%,25.0%,0.158,0.279,0.232,0.278,0.39,0.29,89,0.3,-3.8,3.3,1.1,0.034161490683229816,0.11180124223602485,0.10559006211180125,0.0034161490683229817
220,157,Jake McCarthy,ARI,136,588,8,81,47,30,7.0%,17.9%,0.122,0.314,0.265,0.328,0.387,0.314,99,2.1,1.6,-2.2,2.0,0.013605442176870748,0.07993197278911565,0.1377551020408163,0.003401360544217687
221,228,Jace Jung,DET,83,357,10,40,36,1,11.3%,27.2%,0.148,0.284,0.221,0.312,0.368,0.301,96,-0.6,-2.0,1.3,1.2,0.028011204481792718,0.10084033613445378,0.11204481792717087,0.003361344537815126
222,172,Patrick Bailey,SFG,128,506,11,50,48,3,8.6%,24.1%,0.124,0.286,0.23,0.297,0.354,0.287,85,-0.7,-9.8,9.9,1.7,0.021739130434782608,0.09486166007905138,0.09881422924901186,0.0033596837944664033
223,126,Ezequiel Tovar,COL,159,686,23,82,88,11,4.4%,25.4%,0.181,0.322,0.263,0.298,0.443,0.318,91,-0.4,-8.2,7.3,2.3,0.033527696793002916,0.1282798833819242,0.119533527696793,0.003352769679300291
224,260,Elias Díaz,,68,269,8,27,29,0,6.4%,22.6%,0.145,0.273,0.231,0.284,0.377,0.288,85,-0.4,-5.1,5.3,0.9,0.02973977695167286,0.10780669144981413,0.10037174721189591,0.003345724907063197
225,306,Amed Rosario,WSN,49,210,3,26,18,7,4.8%,18.4%,0.118,0.32,0.271,0.309,0.39,0.304,94,0.4,-1.0,0.6,0.7,0.014285714285714285,0.08571428571428572,0.12380952380952381,0.003333333333333333
226,154,Heliot Ramos,SFG,139,602,25,74,77,7,7.2%,27.0%,0.193,0.311,0.252,0.311,0.446,0.325,111,-0.6,7.1,-7.7,2.0,0.04152823920265781,0.12790697674418605,0.12292358803986711,0.0033222591362126247
227,319,Pedro León,HOU,42,182,8,20,23,7,7.0%,32.0%,0.193,0.305,0.232,0.301,0.425,0.315,107,0.1,1.5,-1.6,0.6,0.04395604395604396,0.12637362637362637,0.10989010989010989,0.0032967032967032967
228,329,Vaughn Grissom,BOS,42,182,3,20,15,4,7.9%,19.4%,0.107,0.314,0.26,0.33,0.367,0.308,95,0.1,-1.0,0.6,0.6,0.016483516483516484,0.08241758241758242,0.10989010989010989,0.0032967032967032967
229,142,Willi Castro,MIN,149,644,15,78,63,22,7.4%,23.2%,0.141,0.308,0.248,0.32,0.389,0.311,103,-0.2,2.1,-3.6,2.1,0.023291925465838508,0.09782608695652174,0.12111801242236025,0.0032608695652173916
230,147,Josh Naylor,ARI,143,616,22,73,79,9,8.6%,15.4%,0.183,0.283,0.266,0.334,0.449,0.338,115,-0.4,11.0,-11.7,2.0,0.03571428571428571,0.12824675324675325,0.1185064935064935,0.003246753246753247
231,158,Adolis García,TEX,143,616,29,71,85,13,7.5%,28.0%,0.207,0.285,0.237,0.299,0.444,0.319,108,0.1,6.0,-7.6,2.0,0.04707792207792208,0.137987012987013,0.11525974025974026,0.003246753246753247
232,220,Trey Sweeney,DET,86,371,10,42,37,10,7.8%,27.8%,0.149,0.284,0.221,0.287,0.371,0.288,88,0.5,-4.7,3.9,1.2,0.026954177897574125,0.09973045822102426,0.11320754716981132,0.003234501347708895
233,295,Eloy Jiménez,,50,217,9,24,28,1,7.0%,20.0%,0.18,0.303,0.27,0.322,0.45,0.332,122,-0.4,5.0,-5.1,0.7,0.041474654377880185,0.12903225806451613,0.11059907834101383,0.0032258064516129032
234,182,Kerry Carpenter,DET,115,497,22,64,66,4,6.7%,24.7%,0.205,0.302,0.256,0.315,0.462,0.333,119,-0.7,10.1,-11.5,1.6,0.04426559356136821,0.13279678068410464,0.12877263581488935,0.0032193158953722338
235,146,Trevor Story,BOS,144,623,19,67,70,28,8.0%,28.6%,0.158,0.295,0.228,0.295,0.386,0.298,88,1.9,-7.0,6.0,2.0,0.030497592295345103,0.11235955056179775,0.10754414125200643,0.0032102728731942215
236,214,Ryan O'Hearn,BAL,94,406,14,49,48,3,7.5%,18.4%,0.17,0.296,0.264,0.322,0.434,0.327,116,-0.6,7.0,-8.2,1.3,0.034482758620689655,0.11822660098522167,0.1206896551724138,0.0032019704433497538
237,137,Jackson Chourio,MIL,152,658,25,79,84,27,6.0%,21.7%,0.185,0.298,0.26,0.305,0.445,0.322,106,1.8,6.3,-7.9,2.1,0.037993920972644375,0.1276595744680851,0.12006079027355623,0.003191489361702128
238,444,Nick Maton,CHW,15,63,2,7,6,0,10.7%,24.6%,0.137,0.272,0.218,0.309,0.355,0.296,91,-0.1,-0.7,0.5,0.2,0.031746031746031744,0.09523809523809523,0.1111111111111111,0.0031746031746031746
239,149,Vinnie Pasquantino,KCR,146,630,21,78,79,3,9.0%,12.8%,0.181,0.274,0.265,0.334,0.446,0.336,116,-1.0,10.5,-11.9,2.0,0.03333333333333333,0.1253968253968254,0.12380952380952381,0.0031746031746031746
240,223,Edouard Julien,MIN,87,378,11,44,38,7,14.3%,31.9%,0.149,0.318,0.223,0.338,0.372,0.317,107,0.1,3.2,-4.4,1.2,0.0291005291005291,0.10052910052910052,0.1164021164021164,0.0031746031746031746
241,254,Taylor Walls,TBR,73,315,5,35,26,15,11.7%,24.7%,0.114,0.271,0.21,0.304,0.323,0.282,86,0.9,-4.0,3.2,1.0,0.015873015873015872,0.08253968253968254,0.1111111111111111,0.0031746031746031746
242,213,Jose Siri,NYM,96,413,18,46,53,16,6.8%,35.5%,0.196,0.291,0.215,0.275,0.41,0.296,92,0.9,-2.8,1.5,1.3,0.043583535108958835,0.12832929782082325,0.11138014527845036,0.0031476997578692495
243,209,Jake Meyers,HOU,96,413,10,46,41,9,7.4%,23.7%,0.141,0.292,0.238,0.304,0.378,0.299,96,0.1,-1.8,0.9,1.3,0.024213075060532687,0.09927360774818401,0.11138014527845036,0.0031476997578692495
244,169,Parker Meadows,DET,133,574,14,77,55,21,7.9%,24.5%,0.152,0.286,0.231,0.294,0.383,0.295,93,0.7,-4.1,2.0,1.8,0.024390243902439025,0.09581881533101046,0.13414634146341464,0.0031358885017421603
245,183,Trevor Larnach,MIN,118,511,18,60,60,5,10.4%,27.0%,0.176,0.299,0.239,0.322,0.414,0.321,110,-0.6,5.4,-7.3,1.6,0.03522504892367906,0.11741682974559686,0.11741682974559686,0.0031311154598825833
246,488,J.C. Escarra,NYY,8,32,1,3,3,0,8.5%,19.9%,0.118,0.251,0.212,0.29,0.331,0.277,79,-0.1,-0.8,0.6,0.1,0.03125,0.09375,0.09375,0.003125
247,494,Logan Driscoll,TBR,8,32,1,3,3,0,5.6%,25.9%,0.11,0.285,0.22,0.274,0.33,0.267,75,0.0,-0.9,0.6,0.1,0.03125,0.09375,0.09375,0.003125
248,496,Rafael Marchán,PHI,8,32,0,3,2,0,7.9%,17.6%,0.095,0.268,0.227,0.299,0.323,0.278,76,-0.1,-1.0,0.6,0.1,0.0,0.0625,0.09375,0.003125
249,339,Luis Torrens,NYM,40,160,4,16,17,1,6.9%,25.4%,0.141,0.278,0.226,0.283,0.367,0.284,85,-0.2,-3.2,3.1,0.5,0.025,0.10625,0.1,0.003125
250,335,Tom Murphy,SFG,47,192,6,21,21,1,9.1%,28.1%,0.159,0.296,0.23,0.304,0.389,0.303,96,-0.3,-1.2,0.3,0.6,0.03125,0.109375,0.109375,0.0031249999999999997
251,410,Curt Casali,,24,96,1,10,7,0,10.2%,23.9%,0.096,0.283,0.218,0.311,0.314,0.283,81,-0.2,-2.3,1.9,0.3,0.010416666666666666,0.07291666666666667,0.10416666666666667,0.0031249999999999997
252,181,Nick Gonzales,PIT,120,518,10,65,52,6,7.1%,23.5%,0.142,0.315,0.251,0.314,0.393,0.308,95,-0.8,-4.1,2.4,1.6,0.019305019305019305,0.10038610038610038,0.12548262548262548,0.003088803088803089
253,198,LaMonte Wade Jr.,SFG,105,455,13,55,46,2,13.1%,21.1%,0.152,0.29,0.244,0.351,0.396,0.33,114,-0.8,6.8,-8.2,1.4,0.02857142857142857,0.1010989010989011,0.12087912087912088,0.003076923076923077
254,171,Tommy Edman,LAD,136,588,13,64,58,22,7.1%,18.0%,0.134,0.276,0.242,0.301,0.376,0.297,91,1.4,-4.8,2.2,1.8,0.022108843537414966,0.09863945578231292,0.10884353741496598,0.0030612244897959186
255,282,James McCann,,66,262,7,25,25,2,5.7%,25.2%,0.129,0.289,0.231,0.283,0.36,0.282,81,-0.3,-6.2,5.1,0.8,0.026717557251908396,0.09541984732824428,0.09541984732824428,0.0030534351145038168
256,184,Michael Massey,KCR,122,525,16,57,62,6,5.3%,18.9%,0.161,0.285,0.252,0.297,0.413,0.307,95,-0.3,-3.3,0.9,1.6,0.030476190476190476,0.1180952380952381,0.10857142857142857,0.0030476190476190477
257,178,TJ Friedl,CIN,130,560,14,71,53,16,8.2%,16.5%,0.145,0.272,0.244,0.321,0.389,0.312,93,0.1,-4.5,2.0,1.7,0.025,0.09464285714285714,0.12678571428571428,0.0030357142857142857
258,239,Jonathan Aranda,TBR,84,364,11,42,40,1,9.6%,25.3%,0.159,0.311,0.249,0.332,0.408,0.324,116,-0.6,6.0,-7.5,1.1,0.03021978021978022,0.10989010989010989,0.11538461538461539,0.003021978021978022
259,162,Paul Goldschmidt,NYY,147,637,26,71,81,9,9.5%,26.3%,0.185,0.298,0.243,0.318,0.428,0.324,112,-0.1,8.4,-11.5,1.9,0.04081632653061224,0.1271585557299843,0.11145996860282574,0.0029827315541601255
260,232,Hunter Renfroe,KCR,86,371,16,42,51,2,7.8%,20.8%,0.197,0.275,0.248,0.309,0.445,0.325,108,-0.6,2.7,-4.2,1.1,0.0431266846361186,0.13746630727762804,0.11320754716981132,0.002964959568733154
261,334,Jack Suwinski,PIT,47,203,9,24,26,4,10.4%,29.8%,0.201,0.284,0.226,0.311,0.427,0.32,102,0.0,0.6,-1.9,0.6,0.04433497536945813,0.12807881773399016,0.11822660098522167,0.0029556650246305416
262,145,Mark Vientos,NYM,157,679,32,78,93,0,7.8%,28.9%,0.206,0.297,0.242,0.305,0.448,0.323,111,-1.1,7.6,-10.3,2.0,0.047128129602356406,0.13696612665684832,0.11487481590574374,0.0029455081001472753
263,304,Oliver Dunn,MIL,55,238,8,29,25,5,10.9%,33.5%,0.169,0.298,0.213,0.304,0.382,0.302,92,0.1,-2.1,0.9,0.7,0.03361344537815126,0.10504201680672269,0.12184873949579832,0.0029411764705882353
264,185,Matt Vierling,DET,126,546,12,65,51,8,7.8%,20.5%,0.135,0.3,0.252,0.313,0.386,0.306,100,-0.7,-0.7,-2.5,1.6,0.02197802197802198,0.09340659340659341,0.11904761904761904,0.0029304029304029304
265,317,Carlos Narvaez,BOS,52,205,5,20,19,2,10.4%,30.4%,0.127,0.291,0.212,0.303,0.339,0.288,80,-0.2,-4.8,4.0,0.6,0.024390243902439025,0.09268292682926829,0.0975609756097561,0.002926829268292683
266,165,George Springer,TOR,143,616,20,72,67,15,9.2%,19.0%,0.162,0.272,0.242,0.318,0.404,0.316,107,0.3,5.5,-8.6,1.8,0.032467532467532464,0.10876623376623376,0.11688311688311688,0.002922077922077922
267,271,Ty France,CIN,71,308,8,34,32,1,7.1%,18.0%,0.142,0.304,0.264,0.34,0.406,0.327,112,-0.6,3.7,-5.5,0.9,0.025974025974025976,0.1038961038961039,0.11038961038961038,0.002922077922077922
268,163,Jurickson Profar,,151,651,16,72,65,7,10.5%,16.2%,0.139,0.275,0.246,0.335,0.385,0.318,105,-0.8,3.3,-7.0,1.9,0.02457757296466974,0.09984639016897082,0.11059907834101383,0.0029185867895545315
269,252,Jhonkensy Noel,CLE,79,343,18,40,51,1,5.4%,27.4%,0.225,0.273,0.236,0.29,0.461,0.321,111,-0.4,3.7,-5.4,1.0,0.052478134110787174,0.14868804664723032,0.11661807580174927,0.0029154518950437317
270,247,Nick Fortes,MIA,96,378,8,37,35,3,5.6%,15.2%,0.119,0.263,0.238,0.292,0.357,0.286,79,-0.5,-9.8,7.4,1.1,0.021164021164021163,0.09259259259259259,0.09788359788359788,0.0029100529100529104
271,199,Chas McCormick,HOU,112,483,15,54,51,16,8.2%,26.6%,0.156,0.305,0.242,0.313,0.397,0.311,104,-0.1,2.1,-4.6,1.4,0.031055900621118012,0.10559006211180125,0.11180124223602485,0.0028985507246376808
272,235,Ernie Clement,TOR,89,385,7,40,37,9,4.2%,10.4%,0.12,0.279,0.264,0.297,0.384,0.296,93,-0.4,-3.5,1.5,1.1,0.01818181818181818,0.09610389610389611,0.1038961038961039,0.0028571428571428576
273,166,Jake Cronenworth,SDP,146,630,14,76,61,6,9.1%,17.9%,0.141,0.271,0.236,0.317,0.377,0.306,99,-0.8,-1.5,-2.2,1.8,0.022222222222222223,0.09682539682539683,0.12063492063492064,0.002857142857142857
274,180,Brayan Rocchio,CLE,130,560,7,58,48,15,8.0%,19.0%,0.106,0.281,0.235,0.305,0.341,0.287,87,-0.4,-8.7,6.0,1.6,0.0125,0.08571428571428572,0.10357142857142858,0.002857142857142857
275,310,Rob Refsnyder,BOS,57,245,7,28,26,3,9.9%,24.8%,0.151,0.32,0.253,0.338,0.404,0.326,107,-0.3,1.7,-3.5,0.7,0.02857142857142857,0.10612244897959183,0.11428571428571428,0.002857142857142857
276,382,Jorge Mateo,BAL,32,140,3,16,14,10,5.9%,24.1%,0.144,0.286,0.232,0.281,0.375,0.286,88,0.8,-1.2,0.3,0.4,0.02142857142857143,0.1,0.11428571428571428,0.002857142857142857
277,177,Maikel Garcia,KCR,138,595,7,68,49,31,7.7%,17.9%,0.106,0.305,0.257,0.312,0.362,0.296,88,2.5,-5.9,2.2,1.7,0.011764705882352941,0.08235294117647059,0.11428571428571428,0.002857142857142857
278,361,Alexander Canario,CHC,32,140,7,16,20,2,7.8%,32.1%,0.219,0.274,0.221,0.285,0.44,0.311,102,-0.1,0.2,-0.6,0.4,0.05,0.14285714285714285,0.11428571428571428,0.002857142857142857
