PA_RANK,Rank,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,HR_per_PA,RBI_per_PA,R_per_PA,WAR_per_PA
617,571,Cooper Hummel,HOU,2,7,0,1,1,0,12.8%,26.3%,0.125,0.286,0.215,0.325,0.34,0.299,96,0.0,0.0,-0.1,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0
618,561,Ryan Noda,LAA,3,14,1,2,2,0,14.1%,34.5%,0.173,0.274,0.194,0.321,0.367,0.308,99,0.0,0.0,-0.2,0.0,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.0
619,559,CJ Alexander,ATH,3,14,1,2,2,0,4.4%,27.5%,0.182,0.271,0.224,0.26,0.406,0.286,89,0.0,-0.2,-0.1,0.0,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.0
620,558,Jakson Reetz,NYM,2,6,0,1,1,0,7.3%,28.8%,0.154,0.251,0.198,0.278,0.352,0.279,81,0.0,-0.2,0.1,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0
621,557,Shane McGuire,ATH,3,13,0,1,1,0,10.8%,24.2%,0.068,0.262,0.198,0.29,0.266,0.256,68,0.0,-0.5,0.3,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0
622,556,Tyler Gentry,KCR,10,42,1,4,4,1,8.7%,28.4%,0.13,0.305,0.228,0.303,0.358,0.293,85,0.0,-0.7,-0.5,0.0,0.023809523809523808,0.09523809523809523,0.09523809523809523,0.0
623,555,Buddy Kennedy,PHI,3,14,0,2,1,0,10.3%,22.5%,0.106,0.283,0.225,0.312,0.33,0.288,83,0.0,-0.3,0.1,0.0,0.0,0.07142857142857142,0.14285714285714285,0.0
624,554,Johnathan Rodriguez,CLE,2,7,0,1,1,0,7.8%,30.4%,0.191,0.315,0.244,0.305,0.436,0.319,110,0.0,0.1,-0.1,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0
625,553,Jesús Bastidas,HOU,3,14,0,1,1,0,6.0%,27.6%,0.145,0.267,0.212,0.28,0.357,0.281,83,0.0,-0.3,0.1,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0
626,552,Benjamin Cowles,CHC,5,21,0,2,2,0,8.1%,27.5%,0.112,0.294,0.219,0.293,0.331,0.278,79,0.0,-0.5,0.1,0.0,0.0,0.09523809523809523,0.09523809523809523,0.0
627,551,Blake Dunn,CIN,3,14,0,2,1,1,8.0%,29.3%,0.129,0.306,0.225,0.309,0.354,0.295,82,0.1,-0.2,0.1,0.0,0.0,0.07142857142857142,0.14285714285714285,0.0
628,560,Matt Koperniak,STL,6,28,1,3,3,0,6.1%,20.5%,0.118,0.296,0.248,0.298,0.367,0.292,87,0.0,-0.5,-0.3,0.0,0.03571428571428571,0.10714285714285714,0.10714285714285714,0.0
629,642,Justin Turner,,122,525,10,51,46,3,9.1%,19.4%,0.113,0.275,0.233,0.315,0.346,0.295,89,-0.8,-7.3,-11.9,-0.2,0.01904761904761905,0.08761904761904762,0.09714285714285714,-0.00038095238095238096
630,638,Oscar Colás,CHW,52,224,6,23,22,4,6.5%,26.0%,0.14,0.293,0.233,0.287,0.373,0.289,86,-0.3,-3.8,-4.9,-0.1,0.026785714285714284,0.09821428571428571,0.10267857142857142,-0.00044642857142857147
631,637,Javier Sanoja,MIA,44,189,1,20,13,5,4.4%,12.1%,0.082,0.277,0.248,0.279,0.33,0.266,66,-0.1,-7.7,0.1,-0.1,0.005291005291005291,0.06878306878306878,0.10582010582010581,-0.0005291005291005291
632,645,Tirso Ornelas,SDP,125,539,11,51,49,4,7.1%,22.0%,0.116,0.276,0.228,0.285,0.344,0.277,80,-0.6,-13.7,-6.9,-0.3,0.02040816326530612,0.09090909090909091,0.09461966604823747,-0.0005565862708719852
633,630,Eddie Rosario,,41,175,5,18,19,3,5.9%,21.4%,0.15,0.264,0.228,0.274,0.378,0.283,81,-0.1,-3.9,-2.5,-0.1,0.02857142857142857,0.10857142857142857,0.10285714285714286,-0.0005714285714285715
634,633,Nick Ahmed,,36,154,2,14,12,2,6.0%,23.8%,0.091,0.27,0.212,0.261,0.303,0.25,59,-0.1,-7.6,1.6,-0.1,0.012987012987012988,0.07792207792207792,0.09090909090909091,-0.0006493506493506494
635,634,Matt Carpenter,,36,154,4,16,15,1,11.5%,29.8%,0.141,0.268,0.2,0.303,0.341,0.289,85,-0.2,-2.8,-3.3,-0.1,0.025974025974025976,0.09740259740259741,0.1038961038961039,-0.0006493506493506494
